"L1","L2","L3","L4a","L4b","L5","impact_category","q025","q25","q50","q75","q975"
0.5,0,0,0,0,0.5,"resource use/enrg/mj",10056155148017.9,10419454565095.1,10611396316427.9,10812753596290,11135924591093.6
0.5,0,0,0,0,0.5,"resource use/land/m2*yr",3307540109969.76,3344404702167.1,3362988487972.37,3382207111245.69,3412194699400.83
0.5,0,0,0,0,0.5,"resource use/mine/kg",130303898504.779,134294807091.173,136313498151.977,138446276394.596,142086317761.795
0.5,0,0,0,0,0.5,"resource use/nren/mj",8618302043337.3,8944844611880.04,9128559503059.01,9315915915641.41,9602491081622.13
0.5,0,0,0,0,0.5,"resource use/ren/mj",1438517368628.67,1469031287865.13,1481650978809.27,1500814116496.08,1533254887352.52
0.5,0,0,0,0,0.5,"resource use/watr/m3",122624272871.019,124230709742.677,124810817609.113,125236048518.705,127232389829.381
0.5,0,0,0,0.5,0,"chemical releases/haps/kg",155248085.29367,159193314.809051,161359711.68798,164212801.045236,169011595.892188
0.5,0,0,0,0.5,0,"chemical releases/metl/kg",1367242.68430873,1407878.16065349,1434446.24010911,1461488.06665086,1497536.68671636
0.5,0,0,0,0.5,0,"chemical releases/pest/kg",81264487.4982233,81433950.5129758,81510801.4517939,81602497.9086556,81863396.5482498
0.5,0,0,0,0.5,0,"economic & social/jobs/jobs",25338206.4230498,25936558.6689724,26336821.9310283,26682658.3224709,27131780.5801904
0.5,0,0,0,0.5,0,"economic & social/vadd/$",1702534591931.21,1766649318531.97,1798184770465.08,1836772941102.84,1908604637139.83
0.5,0,0,0,0.5,0,"impact potential/acid/kg so2 eq",6330131481.06958,6387583613.79741,6416554279.36466,6448305921.69639,6509201995.59997
0.5,0,0,0,0.5,0,"impact potential/etox/ctue",2555957809013.26,2561678646471.06,2564676364656.98,2567732447834.08,2577325924816.46
0.5,0,0,0,0.5,0,"impact potential/eutr/kg n eq",2890771608.64622,2912221611.93929,2924960835.96701,2934711302.81962,2956965885.03418
0.5,0,0,0,0.5,0,"impact potential/gcc/kg co2 eq",1056233409411,1070921305216.64,1079146370124.41,1088286255146.66,1103941570775.58
0.5,0,0,0,0.5,0,"impact potential/hc/ctuh",183.275497677935,187.994360148479,190.370119384624,192.583960442117,198.01071502161
0.5,0,0,0,0.5,0,"impact potential/hnc/ctuh",970.879733197072,995.570597666764,1009.19320529914,1019.17859928589,1044.83989432026
0.5,0,0,0,0.5,0,"impact potential/hrsp/kg pm2.5 eq",1246436156.96352,1253814963.63605,1257966727.86579,1262056807.063,1272891382.33491
0.5,0,0,0,0.5,0,"impact potential/htox/ctuh",1154.15497158673,1183.56705575837,1199.84616841328,1212.0750757546,1242.65067723525
0.5,0,0,0,0.5,0,"impact potential/ozon/kg cfc11 eq",343645.927008162,346692.416626045,347935.617534119,349610.406198518,352926.849093622
0.5,0,0,0,0.5,0,"impact potential/smog/kg o3 eq",41927508475.6077,43062805437.7037,43512159048.1882,44041932761.6773,45532837179.3013
0.5,0,0,0,0.5,0,"resource use/enrg/mj",10235858339188.1,10597646531034.2,10790472382468.6,11010510720149.3,11324792080109.4
0.5,0,0,0,0.5,0,"resource use/land/m2*yr",3437764027322.53,3455621541799.9,3466345229728.38,3475809151154.01,3499746330594.84
0.5,0,0,0,0.5,0,"resource use/mine/kg",133841985777.414,137958127725.89,139873486678.204,141937627037.853,145272488126.268
0.5,0,0,0,0.5,0,"resource use/nren/mj",8774812841819.01,9104909478231.66,9284130125448.98,9484029022968.04,9780776298022.54
0.5,0,0,0,0.5,0,"resource use/ren/mj",1465676058544.53,1493088952322.78,1505330276377.52,1526011837560.74,1556766867864.38
0.5,0,0,0,0.5,0,"resource use/watr/m3",128533444466.566,129394302213.272,129964578195.252,130598985489.664,132106572560.854
0.5,0,0,0,0.5,0.5,"chemical releases/haps/kg",151343888.154978,155687585.626972,157784982.481939,160630170.054779,166007416.170641
0.5,0,0,0,0.5,0.5,"chemical releases/metl/kg",1302758.01455122,1346745.21739399,1373284.95615077,1398891.57522416,1443097.68219697
0.5,0,0,0,0.5,0.5,"chemical releases/pest/kg",74768818.5332755,75832818.8030463,76350011.4831604,76741183.6967071,77741665.778923
0.5,0,0,0,0.5,0.5,"economic & social/jobs/jobs",25045919.0797677,25668179.7193659,26001165.9675082,26351088.3897468,26780860.707765
0.5,0,0,0,0.5,0.5,"economic & social/vadd/$",1676850059073.14,1742969526867.16,1771238892974.83,1808024112518.99,1884157839026.13
0.5,0,0,0,0.5,0.5,"impact potential/acid/kg so2 eq",6120372489.04104,6211721421.30963,6240623003.58636,6268226815.82957,6340941456.73773
0.5,0,0,0,0.5,0.5,"impact potential/etox/ctue",2356166240552.67,2390431281557.2,2404796272541.02,2418052782430.26,2449703872739.52
0.5,0,0,0,0.5,0.5,"impact potential/eutr/kg n eq",2783864796.19633,2811634357.26861,2824452250.76702,2838250763.83278,2867830140.13034
0.5,0,0,0,0.5,0.5,"impact potential/gcc/kg co2 eq",1026668853930.14,1048369224009.95,1055203832601.49,1061591088144.35,1080947041740.5
0.5,0,0,0,0.5,0.5,"impact potential/hc/ctuh",178.593214751474,183.808381334484,185.859849422202,187.734599043593,192.924659209429
0.5,0,0,0,0.5,0.5,"impact potential/hnc/ctuh",935.537838128133,964.154398515635,973.212019700194,984.465293294155,1012.03126809484
0.5,0,0,0,0.5,0.5,"impact potential/hrsp/kg pm2.5 eq",1199901201.39712,1211158100.19689,1216723154.39979,1221188493.10224,1236337247.79723
0.5,0,0,0,0.5,0.5,"impact potential/htox/ctuh",1114.18570816197,1148.00448415139,1159.31334890611,1172.10008717906,1205.36633409731
0.5,0,0,0,0.5,0.5,"impact potential/ozon/kg cfc11 eq",315015.522665412,320901.428187823,324076.486828728,327126.109418154,334083.97640088
